# from Michele Cirasuolo 02/02/2011
#f775w ACS
6500. 0.000000000000
6800. 0.006488203070
6810. 0.008552182470
6820. 0.011269398000
6830. 0.015205249200
6840. 0.019819028700
6850. 0.025770677300
6860. 0.033246796600
6870. 0.042258109900
6880. 0.054639797700
6890. 0.069752611200
6900. 0.083833806200
6910. 0.104187422000
6920. 0.120930456000
6930. 0.143530801000
6940. 0.168308675000
6950. 0.193274364000
6960. 0.222415060000
6970. 0.255301952000
6980. 0.278561741000
6990. 0.306642354000
7000. 0.338261276000
7010. 0.370961308000
7020. 0.396255702000
7030. 0.419450492000
7040. 0.447131604000
7050. 0.464719892000
7060. 0.484671474000
7070. 0.507184505000
7080. 0.522770107000
7090. 0.542080760000
7100. 0.551729560000
7110. 0.568300605000
7120. 0.588247716000
7130. 0.585292399000
7140. 0.602028251000
7150. 0.611228883000
7160. 0.625329077000
7170. 0.623209417000
7180. 0.630270958000
7190. 0.635933340000
7200. 0.644416273000
7210. 0.654949725000
7220. 0.656836867000
7230. 0.663141727000
7240. 0.661077142000
7250. 0.667840362000
7260. 0.660847008000
7270. 0.668353617000
7280. 0.668098867000
7290. 0.657480717000
7300. 0.661622763000
7310. 0.671808481000
7320. 0.677626729000
7330. 0.673511267000
7340. 0.664550066000
7350. 0.675142050000
7360. 0.675154328000
7370. 0.670099318000
7380. 0.680523336000
7390. 0.672417521000
7400. 0.673974633000
7410. 0.675952077000
7420. 0.667630494000
7430. 0.663095176000
7440. 0.663960814000
7450. 0.656171501000
7460. 0.657757223000
7470. 0.655192971000
7480. 0.655381858000
7490. 0.655871689000
7500. 0.658081532000
7510. 0.656352520000
7520. 0.659649968000
7530. 0.667288780000
7540. 0.664477706000
7550. 0.666253328000
7560. 0.661563635000
7570. 0.661274016000
7580. 0.660996497000
7590. 0.656374872000
7600. 0.651959181000
7610. 0.652087748000
7620. 0.655289352000
7630. 0.656223476000
7640. 0.652479589000
7650. 0.648415864000
7660. 0.650601089000
7670. 0.656050622000
7680. 0.648083985000
7690. 0.641533911000
7700. 0.636637330000
7710. 0.631147861000
7720. 0.625200570000
7730. 0.622125447000
7740. 0.615027487000
7750. 0.615033090000
7760. 0.617064476000
7770. 0.613742292000
7780. 0.617143333000
7790. 0.623095870000
7800. 0.625204444000
7810. 0.629377604000
7820. 0.629002571000
7830. 0.632557929000
7840. 0.630042076000
7850. 0.635219276000
7860. 0.619566858000
7870. 0.622923017000
7880. 0.616266251000
7890. 0.613219678000
7900. 0.609357595000
7910. 0.606008112000
7920. 0.601763785000
7930. 0.601328969000
7940. 0.596602321000
7950. 0.594690263000
7960. 0.586382508000
7970. 0.586860240000
7980. 0.581688821000
7990. 0.579114735000
8000. 0.574376643000
8010. 0.570175111000
8020. 0.559863389000
8030. 0.561000764000
8040. 0.557003856000
8050. 0.558626592000
8060. 0.556733131000
8070. 0.556864798000
8080. 0.556806028000
8090. 0.558851182000
8100. 0.556929410000
8110. 0.559297085000
8120. 0.554940045000
8130. 0.554979622000
8140. 0.550983787000
8150. 0.547875643000
8160. 0.544235885000
8170. 0.546071649000
8180. 0.540410697000
8190. 0.541726351000
8200. 0.537105501000
8210. 0.539662957000
8220. 0.533740103000
8230. 0.530456245000
8240. 0.521977544000
8250. 0.510372281000
8260. 0.511419296000
8270. 0.506805897000
8280. 0.499276608000
8290. 0.492273062000
8300. 0.481141329000
8310. 0.483742207000
8320. 0.472595125000
8330. 0.473855138000
8340. 0.463062078000
8350. 0.464756548000
8360. 0.460636020000
8370. 0.452803582000
8380. 0.454583615000
8390. 0.454314262000
8400. 0.453639925000
8410. 0.451556355000
8420. 0.451108277000
8430. 0.444261730000
8440. 0.436790586000
8450. 0.428695291000
8460. 0.417333126000
8470. 0.408829749000
8480. 0.398792744000
8490. 0.387821317000
8500. 0.366137534000
8510. 0.341355115000
8520. 0.303745031000
8530. 0.256256521000
8540. 0.201640829000
8550. 0.146556750000
8560. 0.098590001500
8570. 0.064367175100
8580. 0.040191728600
8590. 0.026466466500
8600. 0.017516486300
8610. 0.011961852200
8620. 0.008462565950
8630. 0.006070998500
8640. 0.004385158420
8650. 0.003177623960
8660. 0.002316223460
8670. 0.001718790040
8710. 0.000741212512
8750. 0.000206620767
8790. 0.000060065606
8830. 0.000000000000
