# from Michele Cirasuolo 02/02/2011
#850lp ACS
 7760. 0.000000000000
 7800. 0.000112373353
 7840. 0.000211807128
 7880. 0.000409514585
 7920. 0.000800601731
 7960. 0.001585692280
 8000. 0.003250946060
 8010. 0.005005792710
 8020. 0.005954506340
 8030. 0.007028338970
 8040. 0.008380261250
 8050. 0.009968758560
 8060. 0.011635096700
 8070. 0.013657775700
 8080. 0.015917591800
 8090. 0.019368570300
 8100. 0.022485489000
 8110. 0.026834035300
 8120. 0.030485190500
 8130. 0.035768043200
 8140. 0.040345259000
 8150. 0.046644277900
 8160. 0.053349439100
 8170. 0.060345944000
 8180. 0.067846320600
 8190. 0.076465167100
 8200. 0.085329048300
 8210. 0.095371469900
 8220. 0.103734508000
 8230. 0.115391463000
 8240. 0.124062560000
 8250. 0.134129018000
 8260. 0.147089615000
 8270. 0.160872892000
 8280. 0.172395959000
 8290. 0.184880823000
 8300. 0.198864400000
 8310. 0.210847914000
 8320. 0.216105849000
 8330. 0.235297337000
 8340. 0.246642619000
 8350. 0.258974165000
 8360. 0.265587121000
 8370. 0.282736510000
 8380. 0.288465470000
 8390. 0.298324287000
 8400. 0.305395007000
 8410. 0.319722652000
 8420. 0.324797958000
 8430. 0.322307527000
 8440. 0.339782447000
 8450. 0.342855275000
 8460. 0.343597591000
 8470. 0.353555560000
 8480. 0.359705120000
 8490. 0.365124404000
 8500. 0.367115200000
 8510. 0.370489269000
 8520. 0.376180261000
 8530. 0.378146350000
 8540. 0.380454421000
 8550. 0.381993085000
 8560. 0.381214678000
 8570. 0.384337336000
 8580. 0.385247886000
 8590. 0.385050327000
 8600. 0.384997755000
 8610. 0.391478807000
 8620. 0.386667252000
 8630. 0.388365328000
 8640. 0.380047053000
 8650. 0.385099858000
 8660. 0.382832438000
 8670. 0.383689493000
 8680. 0.380712777000
 8690. 0.381184280000
 8700. 0.379066139000
 8710. 0.379029125000
 8720. 0.375802517000
 8730. 0.374106407000
 8740. 0.371449590000
 8750. 0.372815698000
 8760. 0.368245751000
 8770. 0.367991269000
 8780. 0.364514828000
 8790. 0.363159806000
 8800. 0.361158609000
 8810. 0.357978404000
 8820. 0.356588334000
 8830. 0.350649983000
 8840. 0.348694235000
 8850. 0.349870384000
 8860. 0.347181320000
 8870. 0.344744056000
 8880. 0.342232257000
 8890. 0.339871854000
 8900. 0.337754309000
 8910. 0.334831893000
 8920. 0.330534190000
 8930. 0.329512477000
 8940. 0.327848017000
 8950. 0.324794620000
 8960. 0.321647525000
 8970. 0.319640309000
 8980. 0.316176683000
 8990. 0.314954132000
 9000. 0.312342376000
 9010. 0.310085773000
 9020. 0.306047618000
 9030. 0.304771006000
 9040. 0.301200092000
 9050. 0.299341112000
 9060. 0.296455830000
 9070. 0.293974459000
 9080. 0.291913152000
 9090. 0.290146172000
 9100. 0.286037505000
 9110. 0.285249174000
 9120. 0.282079458000
 9130. 0.280391604000
 9140. 0.276397049000
 9150. 0.274752051000
 9160. 0.271785975000
 9170. 0.272533596000
 9180. 0.266028732000
 9190. 0.264250040000
 9200. 0.261799097000
 9210. 0.260440379000
 9220. 0.256351680000
 9230. 0.255366862000
 9240. 0.252380639000
 9250. 0.250656128000
 9260. 0.247250780000
 9270. 0.246472731000
 9280. 0.244120553000
 9290. 0.241826102000
 9300. 0.239749044000
 9310. 0.237076268000
 9320. 0.233558476000
 9330. 0.231825829000
 9340. 0.230132729000
 9350. 0.227337822000
 9360. 0.224671915000
 9370. 0.222805336000
 9380. 0.219867900000
 9390. 0.217845723000
 9400. 0.214079693000
 9410. 0.212531373000
 9420. 0.209265336000
 9430. 0.207495689000
 9440. 0.205019400000
 9450. 0.203053758000
 9460. 0.199683741000
 9470. 0.197668880000
 9480. 0.195445299000
 9490. 0.193185836000
 9500. 0.190214783000
 9540. 0.178643674000
 9580. 0.171528429000
 9620. 0.161368832000
 9660. 0.152615175000
 9700. 0.142566577000
 9740. 0.133927360000
 9780. 0.124528386000
 9820. 0.116953395000
 9860. 0.108896889000
 9900. 0.101968274000
 9940. 0.094218567000
 9980. 0.087595239300
10020. 0.080672584500
10060. 0.075486443900
10100. 0.069686397900
10140. 0.064507119400
10180. 0.058628138200
10220. 0.053943928300
10260. 0.049817849000
10300. 0.045714616800
10340. 0.041652791200
10380. 0.037622313900
10420. 0.033925380600
10460. 0.030938351500
10500. 0.027763595800
10600. 0.020178668200
10700. 0.014622177000
10800. 0.009107981810
10900. 0.004526556940
11000. 0.000000000000
